ORDER_ID,ORDER DATE,SHIP MODE,CUSTOMER   NAME,SEGMENT,COUNTRY,CITY,STATE,REGION,CATEGORY,SUB-CATEGORY,SALES,QUANTITY,DISCOUNT,PROFIT,PROFIT MARGIN% ,YEAR
CA-2017-152156,2017-11-08,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0,41.9136,16.00,2017
CA-2017-152156,2017-11-08,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0,219.582,30.00,2017
CA-2017-138688,2017-06-12,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0,6.8714,47.00,2017
US-2016-108966,2016-10-11,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,-40.00,2016
US-2016-108966,2016-10-11,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,11.25,2016
CA-2015-115812,2015-06-09,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0,14.1694,29.00,2015
CA-2015-115812,2015-06-09,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,7.28,4,0,1.9656,27.00,2015
CA-2015-115812,2015-06-09,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,10.00,2015
CA-2015-115812,2015-06-09,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,31.25,2015
CA-2015-115812,2015-06-09,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0,34.47,30.00,2015
CA-2015-115812,2015-06-09,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,5.00,2015
CA-2015-115812,2015-06-09,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,7.50,2015
CA-2018-114412,2018-04-15,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,35.00,2018
CA-2017-161389,2017-12-05,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,32.50,2017
US-2016-118983,2016-11-22,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,-180.00,2016
US-2016-118983,2016-11-22,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,-150.00,2016
CA-2015-105893,2015-11-11,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0,13.3176,2.00,2015
CA-2015-167164,2015-05-13,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0,9.99,18.00,2015
CA-2015-143336,2015-08-27,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Art,8.56,2,0,2.4824,29.00,2015
CA-2015-143336,2015-08-27,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,7.50,2015
CA-2015-143336,2015-08-27,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384,32.50,2015
CA-2017-137330,2017-12-09,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0,5.0596,26.00,2017
CA-2017-137330,2017-12-09,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0,15.6884,26.00,2017
US-2018-156909,2018-07-16,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,-1.43,2018
CA-2016-106320,2016-09-25,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,West,Furniture,Tables,1044.63,3,0,240.2649,23.00,2016
CA-2017-121755,2017-01-16,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224,36.25,2017
